Time,T1,T2,Q1,Q2,SP1,SP2
299.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
301.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
302.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
304.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
305.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
307.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
308.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
310.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
311.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
313.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
314.04,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
316.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
317.04,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
319.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
320.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
322.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
323.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
325.03,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
326.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
328.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
329.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
331.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
332.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
333.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
334.06,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
335.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
337.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
338.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
339.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
340.05,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
341.07,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
343.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
344.04,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
346.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
347.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
349.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
350.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
351.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
352.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
353.01,42.2213,39.965199999999996,31.114800000000002,0,50.0,40.0
355.02,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
356.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
358.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
359.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
361.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
362.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
364.01,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
365.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
366.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
367.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
368.06,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
370.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
371.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
373.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
374.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
375.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
376.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
377.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
379.02,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
380.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
382.0,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
383.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
385.0,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
